He felt so guilty about the incident that he started attending church to pay for what he did.	How long does it take to attend church?	6 minutes	yes	Event Duration
He felt so guilty about the incident that he started attending church to pay for what he did.	How long does it take to attend church?	a few minutes	yes	Event Duration
He felt so guilty about the incident that he started attending church to pay for what he did.	How long does it take to attend church?	4 hours	yes	Event Duration
He felt so guilty about the incident that he started attending church to pay for what he did.	How long does it take to attend church?	4 months	no	Event Duration
He felt so guilty about the incident that he started attending church to pay for what he did.	How long does it take to attend church?	for decades	no	Event Duration
He felt so guilty about the incident that he started attending church to pay for what he did.	How long does it take to attend church?	2 years	no	Event Duration
He felt so guilty about the incident that he started attending church to pay for what he did.	How long does it take to attend church?	several months	no	Event Duration
Zhong then convinces a reluctant Wei Xiaofu to enter the bar with him.	How long does it take to enter bar?	2 minutes	yes	Event Duration
Zhong then convinces a reluctant Wei Xiaofu to enter the bar with him.	How long does it take to enter bar?	22 minutes	yes	Event Duration
Zhong then convinces a reluctant Wei Xiaofu to enter the bar with him.	How long does it take to enter bar?	10 minutes	yes	Event Duration
Zhong then convinces a reluctant Wei Xiaofu to enter the bar with him.	How long does it take to enter bar?	6 days	no	Event Duration
Zhong then convinces a reluctant Wei Xiaofu to enter the bar with him.	How long does it take to enter bar?	a few decades	no	Event Duration
Zhong then convinces a reluctant Wei Xiaofu to enter the bar with him.	How long does it take to enter bar?	10 months	no	Event Duration
Zhong then convinces a reluctant Wei Xiaofu to enter the bar with him.	How long does it take to enter bar?	a few months	no	Event Duration
Since the advent of a postal system, the use of sealing wax has become more for ceremony than security.	How long does it take to seal wax?	5 minutes	yes	Event Duration
Since the advent of a postal system, the use of sealing wax has become more for ceremony than security.	How long does it take to seal wax?	15 minutes	yes	Event Duration
Since the advent of a postal system, the use of sealing wax has become more for ceremony than security.	How long does it take to seal wax?	28 weeks	no	Event Duration
Since the advent of a postal system, the use of sealing wax has become more for ceremony than security.	How long does it take to seal wax?	10 weeks	no	Event Duration
Since the advent of a postal system, the use of sealing wax has become more for ceremony than security.	How long does it take to seal wax?	4 years	no	Event Duration
Since the advent of a postal system, the use of sealing wax has become more for ceremony than security.	How long does it take to seal wax?	8 months	no	Event Duration
Samuel Morland sent him a calculating machine and his loudspeaker.	How long does it take to calculate machine?	2 minutes	yes	Event Duration
Samuel Morland sent him a calculating machine and his loudspeaker.	How long does it take to calculate machine?	24 minutes	yes	Event Duration
Samuel Morland sent him a calculating machine and his loudspeaker.	How long does it take to calculate machine?	4 minutes	yes	Event Duration
Samuel Morland sent him a calculating machine and his loudspeaker.	How long does it take to calculate machine?	4 months	no	Event Duration
Samuel Morland sent him a calculating machine and his loudspeaker.	How long does it take to calculate machine?	a few decades	no	Event Duration
Samuel Morland sent him a calculating machine and his loudspeaker.	How long does it take to calculate machine?	a few months	no	Event Duration
Samuel Morland sent him a calculating machine and his loudspeaker.	How long does it take to calculate machine?	for months	no	Event Duration
On reaching a slight uphill portion near Dukhan, a group of twelve riders broke away to reach the finish 15 seconds before the main group.	How long does it take to reach finish?	10 hours	yes	Event Duration
On reaching a slight uphill portion near Dukhan, a group of twelve riders broke away to reach the finish 15 seconds before the main group.	How long does it take to reach finish?	several hours	yes	Event Duration
On reaching a slight uphill portion near Dukhan, a group of twelve riders broke away to reach the finish 15 seconds before the main group.	How long does it take to reach finish?	6 minutes	yes	Event Duration
On reaching a slight uphill portion near Dukhan, a group of twelve riders broke away to reach the finish 15 seconds before the main group.	How long does it take to reach finish?	18 weeks	no	Event Duration
On reaching a slight uphill portion near Dukhan, a group of twelve riders broke away to reach the finish 15 seconds before the main group.	How long does it take to reach finish?	6 decades	no	Event Duration
On reaching a slight uphill portion near Dukhan, a group of twelve riders broke away to reach the finish 15 seconds before the main group.	How long does it take to reach finish?	a few years	no	Event Duration
On reaching a slight uphill portion near Dukhan, a group of twelve riders broke away to reach the finish 15 seconds before the main group.	How long does it take to reach finish?	10 months	no	Event Duration
They finally arrive at the country estate and the kids play for a while in the house, making a mess of things and breaking a lamp, until Mrs. Van Renssalaer drives them outside where they entertain themselves by torturing the animals and swimming in the fountain in their long-handles, only to be interrupted when Peggy Cartwright comes riding up on a mule.	How long does it take to make mess?	for hours	yes	Event Duration
They finally arrive at the country estate and the kids play for a while in the house, making a mess of things and breaking a lamp, until Mrs. Van Renssalaer drives them outside where they entertain themselves by torturing the animals and swimming in the fountain in their long-handles, only to be interrupted when Peggy Cartwright comes riding up on a mule.	How long does it take to make mess?	6 minutes	yes	Event Duration
They finally arrive at the country estate and the kids play for a while in the house, making a mess of things and breaking a lamp, until Mrs. Van Renssalaer drives them outside where they entertain themselves by torturing the animals and swimming in the fountain in their long-handles, only to be interrupted when Peggy Cartwright comes riding up on a mule.	How long does it take to make mess?	12 minutes	yes	Event Duration
They finally arrive at the country estate and the kids play for a while in the house, making a mess of things and breaking a lamp, until Mrs. Van Renssalaer drives them outside where they entertain themselves by torturing the animals and swimming in the fountain in their long-handles, only to be interrupted when Peggy Cartwright comes riding up on a mule.	How long does it take to make mess?	4 years	no	Event Duration
They finally arrive at the country estate and the kids play for a while in the house, making a mess of things and breaking a lamp, until Mrs. Van Renssalaer drives them outside where they entertain themselves by torturing the animals and swimming in the fountain in their long-handles, only to be interrupted when Peggy Cartwright comes riding up on a mule.	How long does it take to make mess?	10 weeks	no	Event Duration
They finally arrive at the country estate and the kids play for a while in the house, making a mess of things and breaking a lamp, until Mrs. Van Renssalaer drives them outside where they entertain themselves by torturing the animals and swimming in the fountain in their long-handles, only to be interrupted when Peggy Cartwright comes riding up on a mule.	How long does it take to make mess?	a few decades	no	Event Duration
They finally arrive at the country estate and the kids play for a while in the house, making a mess of things and breaking a lamp, until Mrs. Van Renssalaer drives them outside where they entertain themselves by torturing the animals and swimming in the fountain in their long-handles, only to be interrupted when Peggy Cartwright comes riding up on a mule.	How long does it take to make mess?	4 weeks	no	Event Duration
In 2006, the Spears were to field a side in the Premier Division of the Currie Cup to allow them to build a team for their 2007 Super 14 debut.	How long does it take to build team?	1 week	yes	Event Duration
In 2006, the Spears were to field a side in the Premier Division of the Currie Cup to allow them to build a team for their 2007 Super 14 debut.	How long does it take to build team?	4 months	yes	Event Duration
In 2006, the Spears were to field a side in the Premier Division of the Currie Cup to allow them to build a team for their 2007 Super 14 debut.	How long does it take to build team?	several weeks	yes	Event Duration
In 2006, the Spears were to field a side in the Premier Division of the Currie Cup to allow them to build a team for their 2007 Super 14 debut.	How long does it take to build team?	28 seconds	no	Event Duration
In 2006, the Spears were to field a side in the Premier Division of the Currie Cup to allow them to build a team for their 2007 Super 14 debut.	How long does it take to build team?	several minutes	no	Event Duration
In 2006, the Spears were to field a side in the Premier Division of the Currie Cup to allow them to build a team for their 2007 Super 14 debut.	How long does it take to build team?	several seconds	no	Event Duration
In 2006, the Spears were to field a side in the Premier Division of the Currie Cup to allow them to build a team for their 2007 Super 14 debut.	How long does it take to build team?	52 minutes	no	Event Duration
With the session continuing and both parties forgetting things he was getting frustrated and they were getting annoyed and things were getting unpleasant.	How long does it take to get frustrated?	6 hours	yes	Event Duration
